Bioreactor, 4.0, 
Bioreactor Mayer, 7.0, 
Bryson Denham, 4.0, 
Bryson Denham Mayer, 9.0, 
Cart Pendulum, 38.0, 
Cart Pendulum Mayer, 39.0, 
Catalyst Mixing, 9.0, 
Cushioned Oscillation Mayer, 15.0, 
Dielectrophoretic Particle Mayer, 12, 
Double Oscillator, 4.0, 
Double Oscillator Mayer, 7.0, 
Ducted Fan, 14.0, 
Egerstedt, 12.0, 
Egerstedt Mayer, 15.0, 
Electric Car, 5.0, 
Electric Car Mayer, 6.0, 
F8 Aircraft Mayer, 10.0, 
Fuller, 4.0, 
Fuller Mayer, 7.0, 
Hang Glider, 11.0, 
Hanging Chain, 21.0, 
Lotka Competitive, 12.0, 
Lotka Competitive Mayer, 11.0, 
Lotka Shared, 8.0, 
Lotka Shared Mayer, 7.0, 
Lotka Volterra, 6.0, 
Lotka Volterra Mayer, 10.0, 
LQR, 4.0, 
LQR Mayer, 7.0, 
Moon Landing, 8.0, 
Mountain Car Mayer, 17.0, 
Ocean, 4.0, 
Ocean Mayer, 12.0, 
Particle Steering Mayer, 20.0, 
Quadrotor, 27.0, 
Rao Mease, 5.0, 
Rao Mease Mayer, 9.0, 
Three Tank, 7.0, 
Three Tank Mayer, 9.0, 
Tubular Reactor Mayer, 16.0, 
Van der Pol, 7.0, 
Van der Pol Mayer, 16.0, 
Lotka OED, 21.0, 
Dielectr Particle, 64.0, 
Jackson OED, 11.0, 
Van der Pol OED, 103.0, 
