Bioreactor, 4.0, 
Bioreactor Mayer, 6.0, 
Bryson Denham, 4.0, 
Bryson Denham Mayer, 10.4, 
Cart Pendulum, 56.8, 
Cart Pendulum Mayer, 57.8, 
Catalyst Mixing, 35.6, 
Cushioned Oscillation Mayer, 20.4, 
Dielectrophoretic Particle Mayer, 21.2, 
Double Oscillator, 6.0, 
Double Oscillator Mayer, 12.6, 
Ducted Fan, 24.8, 
Egerstedt, 45.4, 
Egerstedt Mayer, 36.4, 
Electric Car, 9.2, 
Electric Car Mayer, 18.4, 
F8 Aircraft Mayer, 19.4, 
Fuller, 5.2, 
Fuller Mayer, 9.2, 
Hang Glider, 58.2, 
Hanging Chain, 38.2, 
Lotka Competitive, 18.8, 
Lotka Competitive Mayer, 23.0, 
Lotka Shared, 15.2, 
Lotka Shared Mayer, 19.6, 
Lotka Volterra, 17.0, 
Lotka Volterra Mayer, 17.4, 
LQR, 5.8, 
LQR Mayer, 10.6, 
Moon Landing, 19.2, 
Mountain Car Mayer, 35.2, 
Ocean, 6.0, 
Ocean Mayer, inf, 
Particle Steering Mayer, 65.8, 
Quadrotor, 34.6, 
Rao Mease, 6.4, 
Rao Mease Mayer, 14.2, 
Three Tank, 22.2, 
Three Tank Mayer, 20.8, 
Tubular Reactor Mayer, 20.6, 
Van der Pol, 11.8, 
Van der Pol Mayer, 30.2, 
Lotka OED, 34.8, 
Dielectr Particle, 64.4, 
Jackson OED, 23.0, 
Van der Pol OED, 48.6, 
