Bioreactor, 4.0, 
Bioreactor Mayer, 7.0, 
Bryson Denham, 4.0, 
Bryson Denham Mayer, 8.0, 
Cart Pendulum, 42.8, 
Cart Pendulum Mayer, 46.2, 
Catalyst Mixing, 8.4, 
Cushioned Oscillation Mayer, 15.0, 
Dielectrophoretic Particle Mayer, 12.0, 
Double Oscillator, 4.0, 
Double Oscillator Mayer, 6.0, 
Ducted Fan, 11.6, 
Egerstedt, inf
Egerstedt Mayer, 32.4, 
Electric Car, 5.0, 
Electric Car Mayer, 5.4, 
F8 Aircraft Mayer, 13.4, 
Fuller, 4.0, 
Fuller Mayer, 4.0, 
Hang Glider, 16.8, 
Hanging Chain, 31.0, 
Lotka Competitive, 10.0, 
Lotka Competitive Mayer, 11.4, 
Lotka Shared, 6.2, 
Lotka Shared Mayer, 7.4, 
Lotka Volterra, 6.0, 
Lotka Volterra Mayer, 10.0, 
LQR, 4.0, 
LQR Mayer, 9.2, 
Moon Landing, 7.0, 
Mountain Car Mayer, 19.8, 
Ocean, 4.0, 
Ocean Mayer, 8.2, 
Particle Steering Mayer, 42.2, 
Quadrotor, 32.2, 
Rao Mease, 5.0, 
Rao Mease Mayer, 10.8, 
Three Tank, 8.0, 
Three Tank Mayer, 8.2, 
Tubular Reactor Mayer, 17.0, 
Van der Pol, 6.6, 
Van der Pol Mayer, 17.6, 
Lotka OED, 27.8, 
Dielectr Particle, 58.4, 
Jackson OED, 9.0, 
Van der Pol OED, 32.0, 
