Bioreactor, 4.0, 
Bioreactor Mayer, 6.0, 
Bryson Denham, 4.0, 
Bryson Denham Mayer, 10.0, 
Cart Pendulum, 54.5, 
Cart Pendulum Mayer, 62.0, 
Catalyst Mixing, 25.0, 
Cushioned Oscillation Mayer, 20.0, 
Dielectrophoretic Particle Mayer, 22.0, 
Double Oscillator, 6.0, 
Double Oscillator Mayer, 11.0, 
Ducted Fan, 24.0, 
Egerstedt, 63.0, 
Egerstedt Mayer, 200.0, 
Electric Car, 11.0, 
Electric Car Mayer, 21.0, 
F8 Aircraft Mayer, 18.0, 
Fuller, 13.0, 
Fuller Mayer, 9.0, 
Hang Glider, 45.0, 
Hanging Chain, 27.0, 
Lotka Competitive, 23.0, 
Lotka Competitive Mayer, 21.0, 
Lotka Shared, 97.0, 
Lotka Shared Mayer, 19.0, 
Lotka Volterra, 14.0, 
Lotka Volterra Mayer, 19.0, 
LQR, 6.0, 
LQR Mayer, 11.0, 
Moon Landing, 15.0, 
Mountain Car Mayer, 33.0, 
Ocean, 6.0, 
Ocean Mayer, 44.0, 
Particle Steering Mayer, 47.0, 
Quadrotor, 36.0, 
Rao Mease, 6.0, 
Rao Mease Mayer, 15.0, 
Three Tank, 26.0, 
Three Tank Mayer, 18.0, 
Tubular Reactor Mayer, 18.0, 
Van der Pol, 9.0, 
Van der Pol Mayer, 31.0, 
Lotka OED, 87.0, 
Dielectr Particle, 52.0, 
Jackson OED, 33.0, 
Van der Pol OED, 62.0, 
