Bioreactor, 4.0, 
Bioreactor Mayer, 6.0, 
Bryson Denham, 4.0, 
Bryson Denham Mayer, 10.0, 
Cart Pendulum, 53.0, 
Cart Pendulum Mayer, 51.0, 
Catalyst Mixing, 20.0, 
Cushioned Oscillation Mayer, 21.0, 
Dielectrophoretic Particle Mayer, 19.0, 
Double Oscillator, 5.0, 
Double Oscillator Mayer, 10.0, 
Ducted Fan, 25.0, 
Egerstedt, 48.0, 
Egerstedt Mayer, 37.0, 
Electric Car, 11.0, 
Electric Car Mayer, 21.0, 
F8 Aircraft Mayer, 19.0, 
Fuller, 13.0, 
Fuller Mayer, 9.0, 
Hang Glider, 38.0, 
Hanging Chain, 33.0, 
Lotka Competitive, 13.0, 
Lotka Competitive Mayer, 24.0, 
Lotka Shared, 14.0, 
Lotka Shared Mayer, 18.0, 
Lotka Volterra, 15.0, 
Lotka Volterra Mayer, 19.0, 
LQR, 6.0, 
LQR Mayer, 11.0, 
Moon Landing, 14.0, 
Mountain Car Mayer, 26.0, 
Ocean, 6.0, 
Ocean Mayer, 38.0, 
Particle Steering Mayer, 76.0, 
Quadrotor, 34.0, 
Rao Mease, 6.0, 
Rao Mease Mayer, 22.0, 
Three Tank, 20.0, 
Three Tank Mayer, 16.0, 
Tubular Reactor Mayer, 26.0, 
Van der Pol, 10.0, 
Van der Pol Mayer, 25.0, 
Lotka OED, 35.0, 
Dielectr Particle, 46.0, 
Jackson OED, 28.0, 
Van der Pol OED, 59.0, 
