Bioreactor, 4.0, 
Bioreactor Mayer, 6.0, 
Bryson Denham, 4.0, 
Bryson Denham Mayer, 10.2, 
Cart Pendulum, 55.4, 
Cart Pendulum Mayer, 62.6, 
Catalyst Mixing, 40.0, 
Cushioned Oscillation Mayer, 22.2, 
Dielectrophoretic Particle Mayer, 21.4, 
Double Oscillator, 6.0, 
Double Oscillator Mayer, 12.2, 
Ducted Fan, 24.2, 
Egerstedt, 68.4, 
Egerstedt Mayer, 65.4, 
Electric Car, 9.8, 
Electric Car Mayer, 19.0, 
F8 Aircraft Mayer, 19.2, 
Fuller, 5.2, 
Fuller Mayer, 7.6, 
Hang Glider, 49.8, 
Hanging Chain, 38.2, 
Lotka Competitive, 18.2, 
Lotka Competitive Mayer, 22.8, 
Lotka Shared, 15.4, 
Lotka Shared Mayer, 17.4, 
Lotka Volterra, 16.2, 
Lotka Volterra Mayer, 18.8, 
LQR, 5.6, 
LQR Mayer, 12.2, 
Moon Landing, 20.6, 
Mountain Car Mayer, 32.4, 
Ocean, 6.0, 
Ocean Mayer, 33.0, 
Particle Steering Mayer, 62.0, 
Quadrotor, 28.6, 
Rao Mease, 6.0, 
Rao Mease Mayer, 14.2, 
Three Tank, 21.0, 
Three Tank Mayer, 19.0, 
Tubular Reactor Mayer, 17.8, 
Van der Pol, 12.0, 
Van der Pol Mayer, 30.4, 

