Bioreactor, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 
Bioreactor Mayer, 2.0, 4.0, 4.0, 5.0, 5.0, 6.2, 7.0, 
Bryson Denham, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 
Bryson Denham Mayer, 4.0, 9.6, 8.4, 18.0, 11.0, 13.2, 8.0, 
Cart Pendulum, inf, inf, 49.0, 37.0, 34.8, 37.4, 42.8, 
Cart Pendulum Mayer, inf, inf, inf, inf, inf, 41.4, 46.2, 
Catalyst Mixing, 7.2, 10.6, 8.4, 8.0, 8.0, 8.8, 8.4, 
Cushioned Oscillation Mayer, 16.8, 15.6, 15.2, 20.2, 18.4, 18.4, 15.0, 
Dielectrophoretic Particle Mayer, inf, inf, 9.0, inf, 12.8, inf, 12.0, 
Double Oscillator, 6.0, 6.0, 6.0, 5.0, 4.0, 4.0, 4.0, 
Double Oscillator Mayer, 6.0, 8.0, 7.0, 6.0, 5.4, 6.0, 6.0, 
Ducted Fan, inf, inf, inf, 16.0, 9.4, 17.2, 11.6, 
Egerstedt, 30.6, 29.8, 25.4, 30.8, 22.8, 31.0, inf
Egerstedt Mayer, 31.6, 29.0, 29.8, inf, 40.6, 67.4, 32.4, 
Electric Car, 6.0, 6.0, 6.0, 5.6, 5.0, 5.0, 5.0, 
Electric Car Mayer, 6.0, 6.0, 6.0, 5.8, 6.0, 7.2, 5.4, 
F8 Aircraft Mayer, 12.2, inf, inf, inf, 22.8, 11.8, 13.4, 
Fuller, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 
Fuller Mayer, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 
Hang Glider, inf, inf, inf, inf, inf, 17.8, 16.8, 
Hanging Chain, 38.6, 40.4, 46.4, 52.6, 50.8, 42.6, 31.0, 
Lotka Competitive, 10.4, 13.4, 15.6, 12.2, 11.0, 10.6, 10.0, 
Lotka Competitive Mayer, 7.8, 11.0, 12.0, 10.0, 10.0, 10.2, 11.4, 
Lotka Shared, 8.4, 10.8, 8.8, 8.8, 8.4, 7.0, 6.2, 
Lotka Shared Mayer, 7.8, 9.0, 8.4, 8.4, 7.6, 7.0, 7.4, 
Lotka Volterra, 7.0, 7.0, 7.0, 7.0, 7.0, 6.6, 6.0, 
Lotka Volterra Mayer, 7.0, 9.6, 8.2, 7.4, 8.8, 9.0, 10.0, 
LQR, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 
LQR Mayer, 4.0, 5.0, 5.0, 6.0, 7.2, 7.6, 9.2, 
Moon Landing, 7.0, 7.4, 7.6, 7.6, 7.4, 7.2, 7.0, 
Mountain Car Mayer, inf, 19.6, 21.6, 20.2, 20.2, 22.0, 19.8, 
Ocean, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 
Ocean Mayer, 5.0, 11.6, 15.0, 14.2, 15.8, 14.4, 8.2, 
Particle Steering Mayer, 7.4, 29.6, 42.0, 36.6, 44.4, 31.8, 42.2, 
Quadrotor, 40.4, 19.8, 18.0, 21.0, 23.4, 18.2, 32.2, 
Rao Mease, 7.6, 7.8, 7.2, 6.0, 6.0, 5.0, 5.0, 
Rao Mease Mayer, 11.6, 7.2, 7.8, 7.4, 9.0, 10.4, 10.8, 
Three Tank, 8.0, 9.2, 9.6, 9.0, 8.0, 7.4, 8.0, 
Three Tank Mayer, 8.6, 9.4, 9.8, 9.8, 9.0, 8.4, 8.2, 
Tubular Reactor Mayer, 11.2, 21.8, 19.6, 20.0, 20.2, 17.0, 17.0, 
Van der Pol, 15.4, 18.4, 9.8, 9.8, 6.6, 8.8, 6.6, 
Van der Pol Mayer, 14.8, 19.8, 15.0, 16.2, 16.6, 18.4, 17.6, 
