Bioreactor, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 
Bioreactor Mayer, 2.0, 4.0, 4.0, 5.0, 5.0, 7.6, 6.0, 
Bryson Denham, 2.0, 5.0, 6.0, 7.4, 7.0, 5.0, 4.0, 
Bryson Denham Mayer, 4.0, 15.0, 11.4, 26.0, 17.6, 18.0, 10.0, 
Cart Pendulum, inf, inf, 89.0, 65.2, 54.6, 51.2, 53.8, 
Cart Pendulum Mayer, inf, 200.0, inf, inf, 57.2, 58.8, 61.2, 
Catalyst Mixing, 28.2, 36.8, 32.6, 29.8, 41.6, 32.0, 30.8, 
Cushioned Oscillation Mayer, 30.4, 20.8, 21.8, 20.8, 20.0, 21.0, 21.4, 
Dielectrophoretic Particle Mayer, 28.6, 34.8, 21.8, 23.0, 24.6, 21.6, 20.0, 
Double Oscillator, 9.0, 8.0, 8.8, 7.0, 6.0, 6.0, 6.0, 
Double Oscillator Mayer, 9.0, 16.4, 12.0, 11.8, 11.6, 11.8, 12.4, 
Ducted Fan, inf, inf, 52.4, 51.8, 39.4, 26.6, 24.4, 
Egerstedt, 33.2, 33.0, 28.2, 32.8, 39.2, 76.4, 147.4, 
Egerstedt Mayer, 34.0, 36.4, 30.6, 41.6, 65.0, 75.2, 93.2, 
Electric Car, inf, inf, inf, 20.4, 13.6, 10.4, 9.2, 
Electric Car Mayer, 34.0, 56.0, 48.8, 46.8, 26.4, 17.8, 19.4, 
F8 Aircraft Mayer, inf, 34.0, inf, 21.0, 25.6, 21.0, 19.0, 
Fuller, 37.6, 26.0, 24.4, 17.4, 16.0, 7.4, 5.2, 
Fuller Mayer, 15.2, 14.8, 13.6, 11.4, 10.8, 10.2, 9.4, 
Hang Glider, inf, inf, inf, inf, inf, 65.6, 50.6, 
Hanging Chain, 95.0, inf, inf, inf, 102.2, 79.4, 41.2, 
Lotka Competitive, 40.6, 39.2, 36.8, 30.8, 27.2, 21.2, 18.8, 
Lotka Competitive Mayer, 41.0, 37.4, 35.2, 32.0, 29.6, 25.0, 22.2, 
Lotka Shared, 50.6, 46.8, 39.4, 34.2, 27.0, 17.4, 15.4, 
Lotka Shared Mayer, 50.6, 45.6, 38.0, 32.6, 25.4, 20.4, 16.6, 
Lotka Volterra, 45.2, 43.2, 39.2, 33.4, 29.6, 24.0, 16.6, 
Lotka Volterra Mayer, 44.8, 40.8, 34.2, 33.2, 25.0, 20.6, 17.2, 
LQR, 23.0, 17.0, 13.0, 11.8, 7.0, 5.0, 5.8, 
LQR Mayer, 23.8, 23.2, 19.2, 16.2, 15.2, 12.6, 10.6, 
Moon Landing, 31.8, 16.2, 16.2, 17.6, 18.2, 18.2, 21.2, 
Mountain Car Mayer, inf, 30.4, 37.0, 39.0, 40.2, 42.6, 40.6, 
Ocean, inf, inf, inf, 26.4, 14.2, 8.6, 6.0, 
Ocean Mayer, inf, inf, inf, inf, inf, inf, inf, 
Particle Steering Mayer, 11.6, inf, 114.6, inf, 85.0, inf, 62.8, 
Quadrotor, 57.0, 33.6, 34.0, 34.8, 22.8, 24.0, 35.4, 
Rao Mease, 17.0, 16.6, 13.0, 10.2, 10.4, 7.8, 6.4, 
Rao Mease Mayer, 14.4, 13.6, 14.0, 17.6, 19.2, 16.4, 14.4, 
Three Tank, 91.4, 81.4, 56.0, 45.8, 34.4, 30.6, 23.2, 
Three Tank Mayer, 56.2, 55.4, 42.8, 33.8, 26.2, 19.6, 20.2, 
Tubular Reactor Mayer, inf, inf, 79.8, 65.6, 52.0, 29.4, 19.4, 
Van der Pol, 24.4, 32.8, 17.0, 19.2, 13.4, 14.8, 10.8, 
Van der Pol Mayer, 24.6, 37.2, 68.0, 52.8, 42.8, 35.8, 29.8, 
