Bioreactor, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 
Bioreactor Mayer, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0, 6.0, 
Bryson Denham, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 
Bryson Denham Mayer, inf, inf, 127.8, inf, inf, 106.4, inf, 
Cart Pendulum, inf, inf, 81.6, 66.0, 63.4, 65.0, 64.0, 
Cart Pendulum Mayer, inf, inf, 152.8, 100.2, 70.6, 72.4, 67.6, 
Catalyst Mixing, 12.0, 13.0, 14.0, 14.0, 14.0, 15.0, 14.0, 
Cushioned Oscillation Mayer, 45.0, 40.4, 44.2, 44.0, 47.8, 46.6, 46.0, 
Dielectrophoretic Particle Mayer, 17.0, 18.2, 18.0, 17.6, 15.0, 17.6, 18.0, 
Double Oscillator, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 
Double Oscillator Mayer, 7.0, 7.0, 7.0, 6.0, 6.0, 6.0, 6.0, 
Ducted Fan, inf, inf, inf, inf, 51.6, inf, 67.4, 
Egerstedt, 14.0, 16.8, 17.0, 16.0, 17.0, 15.6, 15.4, 
Egerstedt Mayer, 15.8, 18.0, 18.0, 17.6, 16.4, 15.4, 15.2, 
Electric Car, 11.4, 11.0, 11.8, 11.6, 12.0, 13.0, 12.0, 
Electric Car Mayer, 13.0, 13.0, 13.0, 13.0, 13.0, 14.0, 13.0, 
F8 Aircraft Mayer, 24.8, 26.0, 29.2, 27.6, 27.6, 32.2, 40.8, 
Fuller, 11.2, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 
Fuller Mayer, 11.2, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 
Hang Glider, 21.0, 20.6, 17.0, 16.6, 13.6, 14.4, 14.0, 
Hanging Chain, 32.2, 40.6, 38.0, 36.8, 37.2, 34.6, 33.6, 
Lotka Competitive, 18.8, 19.0, 19.4, 19.2, 17.4, 17.2, 17.2, 
Lotka Competitive Mayer, 20.2, 23.0, 20.8, 21.2, 21.0, 22.4, 21.0, 
Lotka Shared, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 
Lotka Shared Mayer, 15.0, 15.8, 16.4, 15.2, 17.4, 17.8, 16.4, 
Lotka Volterra, 13.0, 15.0, 16.0, 15.4, 14.0, 14.0, 14.0, 
Lotka Volterra Mayer, 14.0, 16.8, 17.0, 17.0, 16.0, 16.6, 17.8, 
LQR, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 
LQR Mayer, 12.0, 12.0, 12.0, 
LQR Mayer, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 
Moon Landing, 32.4, 27.6, 25.6, 24.4, 20.0, 18.0, 18.0, 
Mountain Car Mayer, 42.2, 44.8, 70.0, inf, 88.4, 64.6, 43.4, 
Ocean, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 
Ocean Mayer, 31.0, 42.8, 35.8, 36.6, 29.6, 26.0, 22.2, 
Particle Steering Mayer, 47.8, 40.8, 39.6, 41.0, 41.2, 38.8, 44.0, 
Quadrotor, 70.0, 78.0, 75.0, 71.0, 71.0, 71.0, 71.0, 
Rao Mease, 20.0, 24.2, 9.0, 6.0, 5.0, 5.0, 4.0, 
Rao Mease Mayer, 17.8, 19.6, 21.8, 21.8, 42.4, 15.0, 20.6, 
Three Tank, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 
Three Tank Mayer, 17.0, 19.0, 19.0, 19.0, 19.0, 19.0, 18.0, 
Tubular Reactor Mayer, 14.0, 15.0, 15.0, 15.0, 16.0, 16.0, 15.0, 
Van der Pol, 21.8, 18.6, 18.4, 17.2, 15.6, 15.4, 14.8, 
Van der Pol Mayer, inf, 131.8, 90.6, 103.2, 106.0, 85.4, 79.8, 
