Bioreactor, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 
Bioreactor Mayer, 6.0, 8.0, 9.0, 10.0, 11.0, 10.0, 12.0, 
Bryson Denham, 11.0, 10.0, 10.4, 10.2, 10.2, 10.2, 10.4, 
Bryson Denham Mayer, 87.6, 83.6, 82.6, 70.0, 65.2, 89.4, 
Cart Pendulum, inf, inf, 118.0, 107.8, 87.8, 85.6, 83.8, 
Cart Pendulum Mayer, inf, inf, 129.0, 100.2, 85.8, 87.0, 77.6, 
Catalyst Mixing, 20.6, 21.4, 22.2, 22.0, 23.0, 24.6, 23.2, 
Cushioned Oscillation Mayer, 81.4, inf, 100.0, 96.6, inf, inf, inf, 
Dielectrophoretic Particle Mayer, 32.4, 30.2, 22.8, 18.4, 26.2, 27.4, 29.4, 
Double Oscillator, 10.0, 11.0, 9.0, 9.0, 7.0, 6.0, 7.0, 
Double Oscillator Mayer, 9.0, 13.4, 11.0, 11.0, 10.0, 10.4, 15.8, 
Ducted Fan, inf, 38.2, inf, 32.2, 27.2, 65.6, 38.8, 
Egerstedt, 46.0, 33.6, 39.4, 45.8, 39.0, 32.6, 36.0, 
Egerstedt Mayer, 33.8, 31.0, 43.4, 49.8, 35.2, 35.2, 35.6, 
Electric Car, 40.2, 170.2, 161.8, 150.8, 109.4, 52.0, 14.8, 
Electric Car Mayer, 35.2, 186.8, 188.4, 171.2, 123.4, 48.8, 15.2, 
F8 Aircraft Mayer, 28.0, 36.0, 31.2, 34.2, 29.6, 30.4, 35.4, 
Fuller, 29.2, 28.6, 30.2, 28.2, 28.2, 27.8, 28.0, 
Fuller Mayer, 26.2, 28.8, 28.8, 28.8, 27.4, 33.0, 30.0, 
Hang Glider, 42.0, inf, inf, inf, inf, inf, inf, 
Hanging Chain, 121.2, 122.2, inf, 146.6, 125.8, inf, 108.2, 
Lotka Competitive, 39.2, 41.6, 41.8, 43.4, 45.2, 41.2, 38.8, 
Lotka Competitive Mayer, 40.8, 63.2, 65.8, 61.6, 64.8, 39.2, 67.4, 
Lotka Shared, 44.6, 41.6, 43.8, 44.2, 43.4, 41.0, 40.4, 
Lotka Shared Mayer, 31.2, 30.8, 29.4, 29.6, 27.6, 28.4, 26.4, 
Lotka Volterra, 31.2, 29.4, 31.4, 31.8, 35.6, 31.0, 29.2, 
Lotka Volterra Mayer, 36.8, 30.6, 38.8, 34.0, 31.2, 31.4, 30.8, 
LQR, 30.4, 28.6, 29.2, 29.4, 29.2, 28.8, 28.2, 
LQR Mayer, 27.8, 27.2, 29.4, 27.8, 30.2, 31.4, 28.0, 
Moon Landing, 20.8, 20.4, 18.0, 14.8, 14.4, 13.0, 12.4, 
Mountain Car Mayer, inf, inf, inf, inf, inf, inf, inf, 
Ocean, 176.4, inf, inf, inf, inf, inf, inf, 
Ocean Mayer, inf, inf, inf, inf, inf, inf, inf, 
Particle Steering Mayer, 15.4, 101.6, inf, 152.4, inf, 129.8, inf, 
Quadrotor, 62.0, 42.0, 43.0, 45.0, 47.0, 61.0, 53.0, 
Rao Mease, 15.6, 14.6, 14.8, 13.6, 12.0, 10.0, 10.0, 
Rao Mease Mayer, 63.0, 29.2, 36.2, 31.8, 23.8, 32.8, 25.2, 
Three Tank, 74.4, 72.4, 79.6, 80.4, 81.0, 72.0, 74.8, 
Three Tank Mayer, 44.8, 44.0, 44.0, 43.6, 47.2, 40.6, 37.6, 
Tubular Reactor Mayer, 40.0, 41.0, 42.6, 46.0, 44.8, 46.4, 47.4, 
Van der Pol, 30.0, 23.6, 25.4, 27.4, 20.4, 19.4, 19.8, 
Van der Pol Mayer, 37.8, 31.2, 37.2, 37.6, 33.8, 32.8, 36.8, 
